Question,proposition1,proposition2,proposition3,proposition4,numéro de la proposition correcte,niveau de difficulté sur 5
Quelle est la capitale de l'Australie ?,Sydney,Canberra,Melbourne,Perth,2,2
Qui a peint la Joconde ?,Vincent Van Gogh,Pablo Picasso,Léonard de Vinci,Claude Monet,3,1
Quel est le plus grand océan du monde ?,Océan Atlantique,Océan Indien,Océan Arctique,Océan Pacifique,4,1
En quelle année a débuté la Révolution française ?,1789,1776,1815,1804,1,2
Quel est l'élément chimique dont le symbole est O ?,Or,Osmium,Oxygène,Ozone,3,1
Qui a écrit 'Les Misérables' ?,Émile Zola,Victor Hugo,Gustave Flaubert,Honoré de Balzac,2,1
Quelle planète est la plus proche du Soleil ?,Vénus,Mars,Mercure,Jupiter,3,1
Combien de continents y a-t-il sur Terre ?,5,6,7,8,3,1
Quel pays a remporté la Coupe du monde de football en 2018 ?,Allemagne,Brésil,Argentine,France,4,1
Quelle est la langue la plus parlée au monde en nombre de locuteurs natifs ?,Anglais,Espagnol,Mandarin,Hindi,3,2
Qui a découvert la pénicilline ?,Louis Pasteur,Alexander Fleming,Marie Curie,Robert Koch,2,3
Quel est le fleuve le plus long du monde ?,Nil,Amazone,Yangtsé,Mississippi,2,3
Dans quel pays se trouve le Machu Picchu ?,Chili,Bolivie,Pérou,Colombie,3,2
Quel est l'auteur de '1984' ?,George Orwell,Aldous Huxley,Ray Bradbury,Isaac Asimov,1,2
Quelle est la plus petite unité de mesure de l'information ?,Bit,Octet,Kilooctet,Mégaoctet,1,2
Quel organe produit l'insuline ?,Foie,Pancréas,Reins,Rate,2,2
Quel est le symbole chimique du fer ?,Fe,Ir,Fr,F,1,1
Qui était le premier homme à marcher sur la Lune ?,Buzz Aldrin,Yuri Gagarine,Neil Armstrong,Michael Collins,3,1
Quelle mer borde le sud de la France ?,Mer Noire,Mer Rouge,Mer Adriatique,Mer Méditerranée,4,1
Quel philosophe a écrit 'Le Contrat social' ?,Voltaire,Rousseau,Montesquieu,Descartes,2,3
